Index,Category,PublishedYear,PublishedMonth,Total
1,Help Desk,2017,2,51
2,Nonfiction,2017,3,51
3,,2017,3,51
4,,2016,12,51
5,Nonfiction,2017,3,51
6,,2017,3,51
7,Nonfiction,2017,3,51
8,,2017,2,23
9,,2016,12,23
10,Books News,2017,2,23
11,Books News,2017,2,23
12,Recommended Reads,2017,1,23
13,Bookends,2017,2,23
14,Reader&apos;s Notebook,2017,2,23
15,Nonfiction,2017,2,32
16,,2017,2,32
17,,2016,12,32
18,Books News,2017,3,32
19,,2017,2,32
20,Further Reading,2017,2,32
21,Books News,2017,2,32
